

============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2 子节点3  dif0    dif1    dif2    dif3   
 算子编号 时间步  算子种类 子节点0 子节点1 子节点2 子节点3  dif0    dif1    dif2    dif3   
    0       2       0       2      -1      -1      -1       0      -1      -1      -1   
    1       2       1       2       0       0      -1       0       2       1      -1   
    2       5       0       3      -1      -1      -1       0      -1      -1      -1   
    3       6       0       7       4       4       5       0       2       1       0   
    4       6       0       5      -1      -1      -1       0      -1      -1      -1   
    5       7       0       6      -1      -1      -1       0      -1      -1      -1   
    6       8       0       8      -1      -1      -1       0      -1      -1      -1   
    7       9       1      -1      -1      -1      -1      -1      -1      -1      -1   
    8       9       1      -1      -1      -1      -1      -1      -1      -1      -1   
